N24	t3	{11}|{1,2,4,3,10,15,8,5,12,17,7,13,18,14,19}#{6,9}|{16}	0	118.867	971
N25	t1	{6,9}|{11,16}#{12,17,7,13,18,14,19}|{1,2,4,3,10,15,8,5}	1	548.942	951.647
N25	t2	{1,2,4,3,10,15,8,5}|{11,16}#{12,17,7,13,18,14,19}|{6,9}	0	194.004	951.647
N25	t3	{6,9}|{1,2,4,3,10,15,8,5}#{12,17,7,13,18,14,19}|{11,16}	0	208.701	951.647
N32	t1	{12,17,7,13,18,14,19}|{6,9,11,16}#{10,15,8,5}|{1,2,4,3}	1	491.156	1207.58
N32	t2	{1,2,4,3}|{6,9,11,16}#{10,15,8,5}|{12,17,7,13,18,14,19}	1.12878e-07	369.728	1207.58
N32	t3	{12,17,7,13,18,14,19}|{1,2,4,3}#{10,15,8,5}|{6,9,11,16}	7.30298e-08	346.699	1207.58
N18	t1	{10}|{15}#{8,5}|{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}	1	533.6	731.1
N18	t2	{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}|{15}#{8,5}|{10}	0	120	731.1
N18	t3	{10}|{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}#{8,5}|{15}	0	77.5	731.1
N34	t1	{8}|{5}#{10,15}|{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}	1	438.2	908.333
N34	t2	{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}|{5}#{10,15}|{8}	0	222.033	908.333
N34	t3	{8}|{1,2,4,3,12,17,7,13,18,14,19,6,9,11,16}#{10,15}|{5}	0	248.1	908.333
N33	t1	{10,15}|{8,5}#{12,17,7,13,18,14,19,6,9,11,16}|{1,2,4,3}	1	622.045	932.551
N33	t2	{1,2,4,3}|{8,5}#{12,17,7,13,18,14,19,6,9,11,16}|{10,15}	0	165.938	932.551
N33	t3	{10,15}|{1,2,4,3}#{12,17,7,13,18,14,19,6,9,11,16}|{8,5}	0	144.568	932.551
N22	t1	{12,17,7,13,18,14,19,6,9,11,16}|{10,15,8,5}#{4,3}|{1,2}	1	1303.67	2074.48
N22	t2	{1,2}|{10,15,8,5}#{4,3}|{12,17,7,13,18,14,19,6,9,11,16}	0	369.295	2074.48
N22	t3	{12,17,7,13,18,14,19,6,9,11,16}|{1,2}#{4,3}|{10,15,8,5}	0	401.517	2074.48
N21	t1	{4}|{3}#{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}|{1,2}	1	4633.8	4827.5
N21	t2	{1,2}|{3}#{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}|{4}	0	84.9333	4827.5
N21	t3	{4}|{1,2}#{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}|{3}	0	108.767	4827.5
N19	t1	{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}|{4,3}#{2}|{1}	1	1631.5	3844.8
N19	t2	{1}|{4,3}#{2}|{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}	0	867.267	3844.8
N19	t3	{12,17,7,13,18,14,19,6,9,11,16,10,15,8,5}|{1}#{2}|{4,3}	1.17002e-29	1346.03	3844.8
