mal1g00001,,,,,
mal1g00050,.,.,opy300s38g00023,opy300s11g00029,opy300s10g02188
mal1g00051,opy300s33g00019,.,opy300s38g00024,.,opy300s10g02187
mal1g00052,opy300s33g00018,.,.,opy300s11g00030,opy300s10g02186
mal1g00053,.,.,.,opy300s11g00031,.
mal1g00054,.,.,.,.,.
mal1g00055,.,.,.,opy300s11g00032,.
mal1g00056,.,.,.,.,.
mal1g00057,.,.,opy300s38g00025,.,opy300s10g02185
mal1g00058,.,.,.,.,opy300s10g02184
mal1g00059,.,.,opy300s38g00026,opy300s11g00033,opy300s10g02183
mal1g00060,.,.,.,opy300s11g00034,.
mal1g00061,.,.,opy300s38g00027,opy300s11g00035,opy300s10g02182
mal1g00062,.,.,opy300s38g00028,opy300s11g00036,opy300s10g02181
mal1g00063,opy300s33g00017,.,opy300s38g00029,opy300s11g00037,opy300s10g02180
mal1g00064,.,.,.,opy300s11g00038,opy300s10g02178
mal1g00065,.,.,.,opy300s11g00039,.
mal1g00066,.,.,opy300s38g00031,opy300s11g00040,opy300s10g02176
mal1g00067,.,.,.,opy300s11g00041,opy300s10g02175
mal1g00068,.,.,.,.,opy300s10g02174
mal1g00069,opy300s33g00016,.,opy300s38g00032,opy300s11g00042,opy300s10g02173
mal1g00070,.,.,opy300s38g00033,opy300s11g00058,opy300s10g02172
mal1g00071,.,opy300s37g00699,.,opy300s11g00057,.
mal1g00072,.,.,opy300s38g00034,.,opy300s10g02169
mal1g00073,.,.,.,.,.
mal1g00074,.,.,opy300s38g00035,opy300s11g00056,opy300s10g02168
mal1g00075,opy300s33g00015,.,opy300s38g00036,.,opy300s10g02167
mal1g00076,.,opy300s37g00702,opy300s38g00037,opy300s11g00055,opy300s10g02166
mal1g00077,opy300s33g00014,.,.,.,.
mal1g00078,.,opy300s37g00703,opy300s38g00038,.,.
mal1g00079,.,.,opy300s38g00039,opy300s11g00054,opy300s10g02165
mal1g00080,.,.,.,.,.
mal1g00081,.,opy300s37g00704,opy300s38g00040,opy300s11g00053,opy300s10g02164
mal1g00082,.,.,opy300s38g00041,.,opy300s10g02163
mal1g00083,.,.,.,.,.
mal1g00084,.,.,.,.,.
mal1g00085,.,.,opy300s38g00042,opy300s11g00052,opy300s10g02162
mal1g00086,.,.,.,opy300s11g00051,.
mal1g00087,opy300s33g00013,.,.,.,opy300s10g02161
mal1g00088,.,.,.,opy300s11g00050,.
mal1g00089,.,.,opy300s38g00043,.,opy300s10g02160
mal1g00090,opy300s33g00012,.,.,.,opy300s10g02159
mal1g00091,.,.,opy300s38g00044,opy300s11g00049,opy300s10g02158
mal1g00092,.,.,opy300s38g00045,opy300s11g00048,opy300s10g02157
mal1g00093,.,.,opy300s38g00046,opy300s11g00047,opy300s10g02156
mal1g00094,.,.,opy300s38g00047,.,opy300s10g02155
mal1g00095,.,.,.,opy300s11g00046,opy300s10g02154
mal1g00096,.,.,.,.,opy300s10g02153
mal1g00097,.,.,opy300s38g00048,.,.
mal1g00098,.,.,.,.,.
mal1g00099,.,.,.,.,opy300s10g02152
mal1g00100,.,.,.,.,.
mal1g00101,.,opy300s37g00706,opy300s38g00049,.,opy300s10g02151
mal1g00102,opy300s33g00011,opy300s37g00707,opy300s38g00050,.,opy300s10g02150
mal1g00103,.,.,.,.,.
mal1g00104,.,opy300s37g00708,opy300s38g00051,opy300s11g00044,opy300s10g02149
mal1g00105,.,.,.,.,.
mal1g00106,.,.,opy300s38g00052,opy300s11g00043,.
mal1g00107,.,.,.,.,opy300s10g02148
mal1g00108,.,.,.,.,.
mal1g00109,.,.,opy300s38g00053,.,opy300s10g02147
mal1g00110,.,.,opy300s38g00054,.,opy300s10g02146
mal1g00111,.,.,opy300s38g00055,.,opy300s10g02145
mal1g00112,opy300s33g00009,.,opy300s38g00057,.,opy300s10g02144
mal1g00113,opy300s33g00008,.,opy300s38g00058,.,.
mal1g00114,.,.,opy300s38g00059,.,opy300s10g02143
mal1g00115,.,.,.,.,opy300s10g02142
mal1g00116,.,.,opy300s38g00061,.,opy300s10g02141
mal1g00117,.,.,opy300s38g00062,.,opy300s10g02140
mal1g00118,.,.,opy300s38g00063,.,opy300s10g02139
mal1g00119,.,.,.,opy300s11g00058,opy300s10g02138
mal1g00120,opy300s33g00007,.,opy300s38g00064,.,.
mal1g00121,.,.,.,.,.
mal1g00122,.,.,.,.,.
