mal1g00001,,,,,
mal1g00117,.,,ga198s13g01667,,ga198s1g00969
mal1g00118,.,,ga198s13g01668,,.
mal1g00119,.,,.,,.
mal1g00120,ga198s2g01774,,.,,.
mal1g00121,.,,.,,.
mal1g00122,.,,.,,.
mal1g00123,.,,ga198s13g01669,,ga198s1g00966
mal1g00124,.,,.,,ga198s1g00965
mal1g00125,.,,.,,.
mal1g00126,.,,.,,.
mal1g00127,.,,ga198s13g01674,,ga198s1g00963
mal1g00128,.,,ga198s13g01675,,ga198s1g00962
mal1g00129,.,,.,,ga198s1g00961
mal1g00130,.,,.,,ga198s1g00959
mal1g00131,.,,.,,.
mal1g00132,.,,.,,ga198s1g00958
mal1g00133,.,,.,,.
mal1g00134,ga198s2g01775,,.,,.
mal1g00135,.,,.,,.
mal1g00136,ga198s2g01776,,.,,.
mal1g00137,,,.,,.
mal1g00138,,,ga198s13g01676,,ga198s1g00957
mal1g00139,,,ga198s13g01677,,ga198s1g00956
mal1g00140,,,ga198s13g01679,,.
mal1g00141,,,.,,ga198s1g00955
mal1g00142,,,ga198s13g01682,,ga198s1g00954
mal1g00143,,ga198s11g00739,.,,ga198s1g00953
mal1g00144,,.,ga198s13g01685,,ga198s1g00952
mal1g00145,,.,.,,ga198s1g00951
mal1g00146,,.,.,,ga198s1g00950
mal1g00147,,.,ga198s13g01687,,ga198s1g00949
mal1g00148,,.,.,,ga198s1g00948
mal1g00149,,.,.,,ga198s1g00945
mal1g00150,,.,.,,ga198s1g00939
mal1g00151,,.,.,,.
mal1g00152,,.,.,,.
mal1g00153,,.,.,,.
mal1g00154,,.,.,,.
mal1g00155,,ga198s11g00738,ga198s13g01690,,.
mal1g00156,,ga198s11g00737,.,,.
mal1g00157,,.,.,,.
mal1g00158,,.,.,,.
mal1g00159,,.,.,,.
mal1g00160,,.,.,,.
mal1g00161,,.,.,,.
mal1g00162,,.,.,,.
mal1g00163,,.,.,,.
mal1g00164,,.,.,,.
mal1g00165,,.,.,,.
mal1g00166,,ga198s11g00735,ga198s13g01691,,ga198s1g00938
mal1g00167,,.,.,ga198s5g04129,.
mal1g00168,,.,.,ga198s5g04132,.
mal1g00169,,.,.,.,.
mal1g00170,,.,.,.,.
mal1g00171,,.,.,.,ga198s1g00936
mal1g00172,,.,.,.,.
mal1g00173,,.,.,.,.
mal1g00174,,.,.,.,.
mal1g00175,,.,.,.,.
mal1g00176,,.,.,.,.
mal1g00177,,.,.,.,.
mal1g00178,,.,.,.,.
mal1g00179,,.,.,.,.
mal1g00180,,.,.,.,.
mal1g00181,,ga198s11g00734,.,.,.
mal1g00182,,ga198s11g00731,.,ga198s5g04133,ga198s1g00934
mal1g00183,,.,.,ga198s5g04134,ga198s1g00933
mal1g00184,,.,ga198s13g01694,.,.
mal1g00185,,.,.,.,ga198s1g00932
mal1g00186,,.,.,ga198s5g04135,ga198s1g00930
mal1g00187,,.,ga198s13g01695,.,.
