mal1g00058,hum1sNW_018397262.1g01066
mal1g00059,hum1sNW_018397262.1g01065
mal1g00060,hum1sNW_018397262.1g01064
mal1g00061,hum1sNW_018397262.1g01063
mal1g00062,hum1sNW_018397262.1g01062
mal1g00063,hum1sNW_018397262.1g01059
mal1g00064,hum1sNW_018397262.1g01058
mal1g00065,hum1sNW_018397262.1g01057
mal1g00066,hum1sNW_018397262.1g01056
mal1g00067,hum1sNW_018397262.1g01055
mal1g00068,hum1sNW_018397262.1g01054
mal1g00069,hum1sNW_018397262.1g01053
mal1g00070,hum1sNW_018397262.1g01052
mal1g00071,hum1sNW_018397262.1g01051
mal1g00072,.
mal1g00073,hum1sNW_018397262.1g01050
mal1g00074,hum1sNW_018397262.1g01048
mal1g00075,hum1sNW_018397262.1g01047
mal1g00076,hum1sNW_018397262.1g01046
mal1g00077,hum1sNW_018397262.1g01045
mal1g00078,hum1sNW_018397262.1g01044
mal1g00079,hum1sNW_018397262.1g01042
mal1g00080,.
mal1g00081,hum1sNW_018397262.1g01039
mal1g00082,hum1sNW_018397262.1g01038
mal1g00083,.
mal1g00084,.
mal1g00085,hum1sNW_018397262.1g01037
mal1g00086,hum1sNW_018397262.1g01036
mal1g00087,hum1sNW_018397262.1g01035
mal1g00088,hum1sNW_018397262.1g01034
mal1g00089,hum1sNW_018397262.1g01033
mal1g00090,hum1sNW_018397262.1g01032
mal1g00091,hum1sNW_018397262.1g01031
mal1g00092,hum1sNW_018397262.1g01030
mal1g00093,hum1sNW_018397262.1g01029
mal1g00094,hum1sNW_018397262.1g01028
mal1g00095,hum1sNW_018397262.1g01027
mal1g00096,hum1sNW_018397262.1g01025
mal1g00097,hum1sNW_018397262.1g01024
mal1g00098,hum1sNW_018397262.1g01023
mal1g00099,hum1sNW_018397262.1g01021
mal1g00100,hum1sNW_018397262.1g01020
mal1g00101,hum1sNW_018397262.1g01019
mal1g00102,hum1sNW_018397262.1g01017
mal1g00103,hum1sNW_018397262.1g01016
mal1g00104,hum1sNW_018397262.1g01015
mal1g00105,.
mal1g00106,hum1sNW_018397262.1g01014
mal1g00107,hum1sNW_018397262.1g01013
mal1g00108,hum1sNW_018397262.1g01012
mal1g00109,hum1sNW_018397262.1g01011
mal1g00110,hum1sNW_018397262.1g01009
mal1g00111,hum1sNW_018397262.1g01008
mal1g00112,hum1sNW_018397262.1g01006
mal1g00113,hum1sNW_018397262.1g01005
mal1g00114,hum1sNW_018397262.1g01004
mal1g00115,hum1sNW_018397262.1g01002
mal1g00116,hum1sNW_018397262.1g01001
mal1g00117,hum1sNW_018397262.1g01000
mal1g00118,hum1sNW_018397262.1g00999
mal1g00119,hum1sNW_018397262.1g00998
mal1g00120,hum1sNW_018397262.1g00997
mal1g00121,hum1sNW_018397262.1g00995
mal1g00122,hum1sNW_018397262.1g00994
mal1g00123,hum1sNW_018397262.1g00993
mal1g00124,hum1sNW_018397262.1g00992
mal1g00125,hum1sNW_018397262.1g00990
mal1g00126,hum1sNW_018397262.1g00989
mal1g00127,hum1sNW_018397262.1g00988
mal1g00128,hum1sNW_018397262.1g00987
mal1g00129,hum1sNW_018397262.1g00986
mal1g00130,hum1sNW_018397262.1g00985
mal1g00131,hum1sNW_018397262.1g00984
mal1g00132,hum1sNW_018397262.1g00980
mal1g00133,.
mal1g00134,hum1sNW_018397262.1g00979
mal1g00135,hum1sNW_018397262.1g00978
mal1g00136,hum1sNW_018397262.1g00977
mal1g00137,.
mal1g00138,.
mal1g00139,.
mal1g00140,hum1sNW_018397262.1g00976
mal1g00141,hum1sNW_018397262.1g00975
mal1g00142,hum1sNW_018397262.1g00974
mal1g00143,hum1sNW_018397262.1g00973
mal1g00144,hum1sNW_018397262.1g00972
mal1g00145,hum1sNW_018397262.1g00971
mal1g00146,.
mal1g00147,hum1sNW_018397262.1g00970
mal1g00148,.
mal1g00149,.
mal1g00150,hum1sNW_018397262.1g00969
mal1g00151,hum1sNW_018397262.1g00968
mal1g00152,.
mal1g00153,.
mal1g00154,.
mal1g00155,hum1sNW_018397262.1g00967
mal1g00156,hum1sNW_018397262.1g00966
mal1g00157,.
mal1g00158,hum1sNW_018397262.1g00964
mal1g00159,.
mal1g00160,.
mal1g00161,.
mal1g00162,.
mal1g00163,hum1sNW_018397262.1g00963
mal1g00164,.
mal1g00165,.
mal1g00166,hum1sNW_018397262.1g00962
mal1g00167,hum1sNW_018397262.1g00960
mal1g00168,hum1sNW_018397262.1g00959
mal1g00169,hum1sNW_018397262.1g00958
mal1g00170,hum1sNW_018397262.1g00957
mal1g00171,.
mal1g00172,.
mal1g00173,.
mal1g00174,.
mal1g00175,.
mal1g00176,.
mal1g00177,.
mal1g00178,.
mal1g00179,.
mal1g00180,.
mal1g00181,.
mal1g00182,hum1sNW_018397262.1g00956
mal1g00183,hum1sNW_018397262.1g00955
mal1g00184,hum1sNW_018397262.1g00954
mal1g00185,hum1sNW_018397262.1g00953
mal1g00186,hum1sNW_018397262.1g00951
mal1g00187,hum1sNW_018397262.1g00950
mal1g00188,hum1sNW_018397262.1g00949
mal1g00189,hum1sNW_018397262.1g00947
mal1g00190,hum1sNW_018397262.1g00945
mal1g00191,hum1sNW_018397262.1g00944
mal1g00192,hum1sNW_018397262.1g00943
mal1g00193,hum1sNW_018397262.1g00942
mal1g00194,hum1sNW_018397262.1g00941
mal1g00195,hum1sNW_018397262.1g00940
mal1g00196,hum1sNW_018397262.1g00939
mal1g00197,hum1sNW_018397262.1g00938
mal1g00198,hum1sNW_018397262.1g00935
mal1g00199,hum1sNW_018397262.1g00934
mal1g00200,hum1sNW_018397262.1g00933
mal1g00201,hum1sNW_018397262.1g00932
mal1g00202,hum1sNW_018397262.1g00931
mal1g00203,hum1sNW_018397262.1g00930
mal1g00204,.
mal1g00205,hum1sNW_018397262.1g00929
mal1g00206,hum1sNW_018397262.1g00928
mal1g00207,hum1sNW_018397262.1g00927
mal1g00208,hum1sNW_018397262.1g00926
mal1g00209,hum1sNW_018397262.1g00925
mal1g00210,hum1sNW_018397262.1g00924
mal1g00211,hum1sNW_018397262.1g00923
mal1g00212,.
mal1g00213,hum1sNW_018397262.1g00922
mal1g00214,.
mal1g00215,hum1sNW_018397262.1g00921
mal1g00216,hum1sNW_018397262.1g00920
mal1g00217,hum1sNW_018397262.1g00919
mal1g00218,.
mal1g00219,.
mal1g00220,hum1sNW_018397262.1g00917
mal1g00221,hum1sNW_018397262.1g00916
mal1g00222,hum1sNW_018397262.1g00915
mal1g00223,hum1sNW_018397262.1g00914
mal1g00224,hum1sNW_018397262.1g00912
mal1g00225,hum1sNW_018397262.1g00911
mal1g00226,hum1sNW_018397262.1g00910
mal1g00227,hum1sNW_018397262.1g00909
mal1g00228,hum1sNW_018397262.1g00908
mal1g00229,hum1sNW_018397262.1g00907
