qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
42,2,3,5,8,0.11380880121396054,0.09711684370257967,0.7890743550834598,659.0
43,1,4,5,8,0.058394160583941604,0.05656934306569343,0.885036496350365,548.0
44,2,4,5,8,0.15915915915915915,0.1036036036036036,0.7372372372372372,666.0
45,3,4,5,8,0.32552404438964244,0.43279901356350187,0.24167694204685575,811.0
46,1,2,6,8,0.982839313572543,0.0062402496099844,0.0109204368174727,641.0
47,1,3,6,8,0.99375,0.0025,0.00375,800.0
48,2,3,6,8,0.9851694915254238,0.00847457627118644,0.006355932203389831,944.0
49,1,4,6,8,0.9936788874841972,0.0025284450063211127,0.0037926675094816687,791.0
50,2,4,6,8,0.9852320675105485,0.007383966244725738,0.007383966244725738,948.0
51,3,4,6,8,0.9991364421416234,0.0008635578583765112,0.0,1158.0
52,1,5,6,8,0.994661921708185,0.0017793594306049821,0.0035587188612099642,562.0
53,2,5,6,8,0.9862385321100917,0.00764525993883792,0.0061162079510703364,654.0
54,3,5,6,8,1.0,0.0,0.0,817.0
55,4,5,6,8,0.998769987699877,0.0,0.0012300123001230013,813.0
56,1,2,7,8,0.404320987654321,0.2191358024691358,0.3765432098765432,648.0
57,1,3,7,8,0.03593556381660471,0.03717472118959108,0.9268897149938042,807.0
58,2,3,7,8,0.09261186264308012,0.13007284079084286,0.777315296566077,961.0
59,1,4,7,8,0.024906600249066,0.014943960149439602,0.9601494396014943,803.0
60,2,4,7,8,0.07010309278350516,0.027835051546391754,0.9020618556701031,970.0
61,3,4,7,8,0.051694915254237285,0.07033898305084746,0.8779661016949153,1180.0
62,1,5,7,8,0.04424778761061947,0.04601769911504425,0.9097345132743363,565.0
63,2,5,7,8,0.09895052473763119,0.14842578710644677,0.7526236881559221,667.0
64,3,5,7,8,0.44096385542168676,0.3204819277108434,0.2385542168674699,830.0
65,4,5,7,8,0.04332129963898917,0.8916967509025271,0.06498194945848375,831.0
66,1,6,7,8,0.0012330456226880395,0.9950678175092479,0.0036991368680641184,811.0
67,2,6,7,8,0.008403361344537815,0.9852941176470589,0.0063025210084033615,952.0
68,3,6,7,8,0.0,0.9991525423728813,0.000847457627118644,1180.0
69,4,6,7,8,0.0,0.9991511035653651,0.0008488964346349745,1178.0
70,5,6,7,8,0.0012048192771084338,0.9987951807228915,0.0,830.0
